constructorId,year,avg_pit_stop_duration
1,2011,22.582109090909093
1,2012,22.594636363636365
1,2013,22.994317073170734
1,2014,24.454974999999997
1,2015,24.665944444444445
1,2016,23.968333333333334
1,2017,24.08065573770492
1,2018,25.36338596491228
1,2019,26.156410714285716
1,2020,25.35167857142857
1,2021,24.526999999999997
1,2022,24.4929358974359
1,2023,25.17423170731707
1,2024,23.920753246753247
3,2011,23.699113402061855
3,2012,23.523506666666666
3,2013,25.226593023255816
3,2014,24.824068493150683
3,2015,25.145569620253166
3,2016,24.078364705882354
3,2017,24.080266666666667
3,2018,24.819171875
3,2019,24.47635135135135
3,2020,25.59193220338983
3,2021,24.936910447761193
3,2022,24.62312048192771
3,2023,25.846513157894737
3,2024,25.204671232876713
4,2011,23.239736263736262
4,2016,24.960439024390244
4,2017,24.224
4,2018,24.20658823529412
4,2019,24.96535714285714
4,2020,24.612295454545457
5,2011,23.94140476190476
5,2012,22.502449438202248
5,2013,23.983686746987953
5,2014,25.524615384615384
5,2015,26.439960526315787
5,2016,25.072831325301205
5,2017,23.4998125
5,2018,24.386326923076922
5,2019,25.412629032258067
6,2011,22.947407407407407
6,2012,22.243654320987652
6,2013,22.56878021978022
6,2014,24.355449999999998
6,2015,25.148109589041095
6,2016,23.90220253164557
6,2017,23.073140625
6,2018,24.722641509433963
6,2019,24.616410958904112
6,2020,25.34122641509434
6,2021,24.301857142857145
6,2022,24.33158904109589
6,2023,23.66263768115942
6,2024,24.300813333333334
9,2011,22.426548076923076
9,2012,22.146623529411766
9,2013,22.52349438202247
9,2014,24.066038961038963
9,2015,24.776136986301367
9,2016,24.529214285714286
9,2017,23.603339285714288
9,2018,23.778391304347828
9,2019,23.97193846153846
9,2020,24.52821818181818
9,2021,23.978025641025642
9,2022,23.951578313253012
9,2023,23.928477272727275
9,2024,24.357275
10,2011,23.236979381443298
10,2012,22.69344155844156
10,2013,23.882253521126763
10,2014,24.79558208955224
10,2015,25.316300000000002
10,2016,24.00089024390244
10,2017,24.14044155844156
10,2018,25.17796153846154
15,2011,23.545123456790122
15,2012,23.943573333333333
15,2013,23.275296703296704
15,2014,25.865706666666668
15,2015,25.3311724137931
15,2016,25.46185
15,2017,27.109957746478873
15,2018,25.17426
15,2024,25.74828205128205
51,2019,25.700426470588233
51,2020,26.06498181818182
51,2021,25.43355072463768
51,2022,25.248322580645162
51,2023,25.46715730337079
117,2021,25.206119402985074
117,2022,24.163306666666667
117,2023,24.128587500000002
117,2024,24.71322222222222
131,2011,22.625193877551023
131,2012,22.462075
131,2013,22.642483516483516
131,2014,24.296972972972974
131,2015,23.811493333333335
131,2016,23.7502987012987
131,2017,23.461333333333336
131,2018,23.672111111111114
131,2019,23.939985074626865
131,2020,25.16132258064516
131,2021,24.118133333333333
131,2022,24.659684210526315
131,2023,23.8815375
131,2024,24.250320512820515
164,2011,27.03114814814815
164,2012,25.109176470588235
166,2011,24.236194805194803
205,2011,24.44421176470588
206,2012,24.50038157894737
206,2013,24.243085106382978
206,2014,26.294081967213117
207,2012,24.633473684210525
207,2013,24.465133333333334
207,2014,25.67701851851852
208,2012,23.319367647058826
208,2013,23.455355263157895
208,2014,24.921805555555558
208,2015,25.357646153846154
209,2015,26.843411764705884
209,2016,26.019444444444442
210,2016,25.329753086419753
210,2017,24.761097222222222
210,2018,25.23305263157895
210,2019,24.471939393939394
210,2020,26.733041666666665
210,2021,26.12269014084507
210,2022,26.04976388888889
210,2023,25.822558139534888
210,2024,25.770117647058825
211,2019,25.31364516129032
211,2020,25.3215306122449
213,2020,24.92219607843137
213,2021,25.659840579710146
213,2022,24.943853658536586
213,2023,24.538903614457833
214,2021,26.00495238095238
214,2022,23.999499999999998
214,2023,24.895106666666667
214,2024,24.220915492957747
215,2024,24.733666666666668
