driverId,year,total_points,races_started,points_per_race
1,2010,240.0,19,12.631578947368421
1,2011,227.0,19,11.947368421052632
1,2012,190.0,20,9.5
1,2013,189.0,19,9.947368421052632
1,2014,384.0,19,20.210526315789473
1,2015,381.0,19,20.05263157894737
1,2016,380.0,21,18.095238095238095
1,2017,363.0,20,18.15
1,2018,408.0,21,19.428571428571427
1,2019,413.0,21,19.666666666666668
1,2020,347.0,16,21.6875
1,2021,385.5,22,17.522727272727273
1,2022,233.0,22,10.590909090909092
1,2023,217.0,22,9.863636363636363
1,2024,207.0,24,8.625
2,2010,6.0,5,1.2
2,2011,34.0,11,3.090909090909091
3,2010,142.0,19,7.473684210526316
3,2011,89.0,19,4.684210526315789
3,2012,93.0,20,4.65
3,2013,171.0,19,9.0
3,2014,317.0,19,16.68421052631579
3,2015,322.0,19,16.94736842105263
3,2016,385.0,21,18.333333333333332
4,2010,252.0,19,13.263157894736842
4,2011,257.0,19,13.526315789473685
4,2012,278.0,20,13.9
4,2013,242.0,19,12.736842105263158
4,2014,161.0,19,8.473684210526315
4,2015,11.0,18,0.6111111111111112
4,2016,54.0,20,2.7
4,2017,17.0,18,0.9444444444444444
4,2018,50.0,21,2.380952380952381
4,2021,81.0,22,3.6818181818181817
4,2022,81.0,22,3.6818181818181817
4,2023,198.0,22,9.0
4,2024,70.0,24,2.9166666666666665
5,2010,0.0,18,0.0
5,2011,0.0,19,0.0
5,2012,0.0,20,0.0
5,2013,0.0,2,0.0
8,2012,207.0,20,10.35
8,2013,183.0,17,10.764705882352942
8,2014,55.0,19,2.8947368421052633
8,2015,150.0,19,7.894736842105263
8,2016,186.0,21,8.857142857142858
8,2017,205.0,20,10.25
8,2018,251.0,21,11.952380952380953
8,2019,43.0,21,2.0476190476190474
8,2020,4.0,17,0.23529411764705882
8,2021,10.0,20,0.5
9,2010,136.0,19,7.157894736842105
9,2019,1.0,21,0.047619047619047616
9,2021,0.0,2,0.0
10,2010,0.0,18,0.0
10,2011,0.0,18,0.0
10,2012,0.0,19,0.0
13,2010,144.0,19,7.578947368421052
13,2011,118.0,19,6.2105263157894735
13,2012,122.0,20,6.1
13,2013,112.0,19,5.894736842105263
13,2014,134.0,19,7.052631578947368
13,2015,121.0,18,6.722222222222222
13,2016,53.0,21,2.5238095238095237
13,2017,43.0,19,2.263157894736842
15,2010,0.0,18,0.0
15,2011,0.0,18,0.0
16,2010,47.0,19,2.473684210526316
16,2011,42.0,19,2.210526315789474
16,2013,29.0,19,1.5263157894736843
16,2014,0.0,19,0.0
17,2010,242.0,19,12.736842105263158
17,2011,258.0,19,13.578947368421053
17,2012,179.0,20,8.95
17,2013,199.0,19,10.473684210526315
18,2010,214.0,19,11.263157894736842
18,2011,270.0,19,14.210526315789474
18,2012,188.0,20,9.4
18,2013,73.0,19,3.8421052631578947
18,2014,126.0,19,6.631578947368421
18,2015,16.0,18,0.8888888888888888
18,2016,21.0,21,1.0
18,2017,0.0,1,0.0
20,2010,256.0,19,13.473684210526315
20,2011,392.0,19,20.63157894736842
20,2012,281.0,20,14.05
20,2013,397.0,19,20.894736842105264
20,2014,167.0,19,8.789473684210526
20,2015,278.0,19,14.631578947368421
20,2016,212.0,20,10.6
20,2017,317.0,20,15.85
20,2018,320.0,21,15.238095238095237
20,2019,240.0,21,11.428571428571429
20,2020,33.0,17,1.9411764705882353
20,2021,43.0,22,1.9545454545454546
20,2022,37.0,20,1.85
22,2010,47.0,19,2.473684210526316
22,2011,4.0,19,0.21052631578947367
24,2010,21.0,19,1.105263157894737
24,2011,0.0,17,0.0
29,2010,0.0,7,0.0
30,2010,72.0,19,3.789473684210526
30,2011,76.0,19,4.0
30,2012,49.0,20,2.45
32,2010,0.0,3,0.0
37,2010,6.0,13,0.46153846153846156
37,2011,0.0,1,0.0
37,2012,0.0,19,0.0
39,2011,0.0,8,0.0
39,2012,0.0,19,0.0
67,2010,8.0,19,0.42105263157894735
67,2011,15.0,19,0.7894736842105263
153,2010,5.0,19,0.2631578947368421
153,2011,26.0,19,1.368421052631579
154,2012,96.0,19,5.052631578947368
154,2013,132.0,19,6.947368421052632
154,2014,8.0,19,0.42105263157894735
154,2015,51.0,19,2.6842105263157894
154,2016,29.0,19,1.5263157894736843
154,2017,28.0,20,1.4
154,2018,37.0,21,1.7619047619047619
154,2019,8.0,21,0.38095238095238093
154,2020,2.0,15,0.13333333333333333
155,2010,32.0,19,1.6842105263157894
155,2011,30.0,19,1.5789473684210527
155,2012,60.0,20,3.0
155,2014,0.0,15,0.0
807,2010,22.0,19,1.1578947368421053
807,2012,63.0,20,3.15
807,2013,51.0,18,2.8333333333333335
807,2014,96.0,19,5.052631578947368
807,2015,58.0,18,3.2222222222222223
807,2016,72.0,21,3.4285714285714284
807,2017,43.0,20,2.15
807,2018,69.0,21,3.2857142857142856
807,2019,37.0,21,1.7619047619047619
807,2020,10.0,2,5.0
807,2022,0.0,2,0.0
807,2023,6.0,22,0.2727272727272727
807,2024,36.0,24,1.5
808,2010,27.0,19,1.4210526315789473
808,2011,37.0,19,1.9473684210526316
808,2012,0.0,19,0.0
810,2010,0.0,19,0.0
811,2010,0.0,18,0.0
811,2011,2.0,8,0.25
811,2012,31.0,20,1.55
812,2010,0.0,10,0.0
812,2011,0.0,1,0.0
813,2011,1.0,19,0.05263157894736842
813,2012,45.0,20,2.25
813,2013,1.0,19,0.05263157894736842
813,2014,2.0,18,0.1111111111111111
813,2015,27.0,19,1.4210526315789473
814,2011,27.0,19,1.4210526315789473
814,2012,46.0,20,2.3
814,2013,48.0,19,2.526315789473684
814,2017,0.0,1,0.0
815,2011,14.0,17,0.8235294117647058
815,2012,66.0,20,3.3
815,2013,49.0,19,2.5789473684210527
815,2014,59.0,18,3.2777777777777777
815,2015,78.0,19,4.105263157894737
815,2016,101.0,21,4.809523809523809
815,2017,100.0,20,5.0
815,2018,62.0,21,2.9523809523809526
815,2019,52.0,21,2.4761904761904763
815,2020,125.0,15,8.333333333333334
815,2021,190.0,22,8.636363636363637
815,2022,291.0,22,13.227272727272727
815,2023,260.0,22,11.818181818181818
815,2024,138.0,24,5.75
816,2011,0.0,19,0.0
816,2012,0.0,1,0.0
817,2011,0.0,11,0.0
817,2012,10.0,20,0.5
817,2013,20.0,19,1.0526315789473684
817,2014,238.0,19,12.526315789473685
817,2015,92.0,19,4.842105263157895
817,2016,256.0,21,12.19047619047619
817,2017,200.0,20,10.0
817,2018,170.0,21,8.095238095238095
817,2019,54.0,21,2.5714285714285716
817,2020,119.0,17,7.0
817,2021,114.0,22,5.181818181818182
817,2022,34.0,22,1.5454545454545454
817,2023,6.0,7,0.8571428571428571
817,2024,7.0,18,0.3888888888888889
818,2012,16.0,20,0.8
818,2013,13.0,19,0.6842105263157895
818,2014,22.0,19,1.1578947368421053
819,2012,0.0,20,0.0
819,2013,0.0,19,0.0
820,2013,0.0,19,0.0
820,2014,0.0,16,0.0
821,2013,6.0,19,0.3157894736842105
821,2014,0.0,19,0.0
821,2016,0.0,21,0.0
822,2013,4.0,19,0.21052631578947367
822,2014,186.0,19,9.789473684210526
822,2015,136.0,18,7.555555555555555
822,2016,85.0,21,4.0476190476190474
822,2017,305.0,20,15.25
822,2018,247.0,21,11.761904761904763
822,2019,326.0,21,15.523809523809524
822,2020,223.0,17,13.117647058823529
822,2021,219.0,22,9.954545454545455
822,2022,47.0,22,2.1363636363636362
822,2023,10.0,22,0.45454545454545453
822,2024,0.0,24,0.0
823,2013,0.0,19,0.0
824,2013,0.0,19,0.0
824,2014,2.0,15,0.13333333333333333
825,2014,55.0,19,2.8947368421052633
825,2016,7.0,21,0.3333333333333333
825,2017,19.0,20,0.95
825,2018,56.0,21,2.6666666666666665
825,2019,20.0,21,0.9523809523809523
825,2020,1.0,17,0.058823529411764705
825,2022,21.0,22,0.9545454545454546
825,2023,3.0,22,0.13636363636363635
825,2024,14.0,22,0.6363636363636364
826,2014,8.0,19,0.42105263157894735
826,2015,95.0,18,5.277777777777778
826,2016,25.0,20,1.25
826,2017,5.0,15,0.3333333333333333
826,2019,37.0,21,1.7619047619047619
826,2020,32.0,17,1.8823529411764706
827,2014,0.0,1,0.0
828,2014,0.0,16,0.0
828,2015,9.0,19,0.47368421052631576
828,2016,0.0,21,0.0
828,2017,0.0,20,0.0
828,2018,9.0,21,0.42857142857142855
829,2014,0.0,1,0.0
829,2015,0.0,17,0.0
830,2015,49.0,19,2.5789473684210527
830,2016,204.0,21,9.714285714285714
830,2017,168.0,20,8.4
830,2018,249.0,21,11.857142857142858
830,2019,278.0,21,13.238095238095237
830,2020,214.0,17,12.588235294117647
830,2021,388.5,22,17.65909090909091
830,2022,433.0,22,19.681818181818183
830,2023,530.0,22,24.09090909090909
830,2024,399.0,24,16.625
831,2015,27.0,18,1.5
831,2016,2.0,21,0.09523809523809523
832,2015,18.0,19,0.9473684210526315
832,2016,46.0,21,2.1904761904761907
832,2017,54.0,20,2.7
832,2018,53.0,21,2.5238095238095237
832,2019,96.0,21,4.571428571428571
832,2020,105.0,16,6.5625
832,2021,163.5,22,7.431818181818182
832,2022,228.0,22,10.363636363636363
832,2023,178.0,21,8.476190476190476
832,2024,262.0,23,11.391304347826088
833,2015,0.0,13,0.0
834,2015,0.0,5,0.0
835,2016,1.0,20,0.05
835,2017,8.0,16,0.5
836,2016,1.0,21,0.047619047619047616
836,2017,5.0,18,0.2777777777777778
837,2016,0.0,12,0.0
838,2016,1.0,1,1.0
838,2017,13.0,20,0.65
838,2018,12.0,21,0.5714285714285714
839,2016,0.0,9,0.0
839,2017,87.0,20,4.35
839,2018,49.0,21,2.3333333333333335
839,2020,62.0,17,3.6470588235294117
839,2021,74.0,22,3.3636363636363638
839,2022,89.0,22,4.045454545454546
839,2023,56.0,22,2.5454545454545454
839,2024,23.0,23,1.0
840,2017,40.0,20,2.0
840,2018,6.0,21,0.2857142857142857
840,2019,21.0,21,1.0
840,2020,75.0,16,4.6875
840,2021,34.0,22,1.5454545454545454
840,2022,18.0,22,0.8181818181818182
840,2023,68.0,21,3.238095238095238
840,2024,24.0,23,1.0434782608695652
841,2017,0.0,2,0.0
841,2019,14.0,21,0.6666666666666666
841,2020,4.0,17,0.23529411764705882
841,2021,3.0,22,0.13636363636363635
842,2017,0.0,5,0.0
842,2018,29.0,21,1.380952380952381
842,2019,95.0,21,4.523809523809524
842,2020,75.0,17,4.411764705882353
842,2021,110.0,22,5.0
842,2022,23.0,22,1.0454545454545454
842,2023,54.0,22,2.4545454545454546
842,2024,40.0,23,1.7391304347826086
843,2017,0.0,4,0.0
843,2018,4.0,21,0.19047619047619047
844,2018,39.0,21,1.8571428571428572
844,2019,264.0,21,12.571428571428571
844,2020,98.0,17,5.764705882352941
844,2021,159.0,21,7.571428571428571
844,2022,291.0,22,13.227272727272727
844,2023,185.0,21,8.80952380952381
844,2024,327.0,24,13.625
845,2018,1.0,21,0.047619047619047616
846,2019,49.0,21,2.3333333333333335
846,2020,97.0,17,5.705882352941177
846,2021,160.0,22,7.2727272727272725
846,2022,116.0,22,5.2727272727272725
846,2023,184.0,22,8.363636363636363
846,2024,344.0,24,14.333333333333334
847,2019,0.0,21,0.0
847,2020,3.0,17,0.17647058823529413
847,2021,16.0,22,0.7272727272727273
847,2022,262.0,22,11.909090909090908
847,2023,157.0,22,7.136363636363637
847,2024,226.0,24,9.416666666666666
848,2019,92.0,21,4.380952380952381
848,2020,105.0,17,6.176470588235294
848,2022,4.0,21,0.19047619047619047
848,2023,25.0,22,1.1363636363636365
848,2024,12.0,23,0.5217391304347826
849,2020,0.0,17,0.0
849,2021,7.0,22,0.3181818181818182
849,2022,2.0,22,0.09090909090909091
850,2020,0.0,2,0.0
851,2020,0.0,1,0.0
852,2021,32.0,21,1.5238095238095237
852,2022,12.0,22,0.5454545454545454
852,2023,14.0,22,0.6363636363636364
852,2024,29.0,24,1.2083333333333333
853,2021,0.0,21,0.0
854,2021,0.0,22,0.0
854,2022,12.0,21,0.5714285714285714
855,2022,6.0,22,0.2727272727272727
855,2023,6.0,22,0.2727272727272727
855,2024,4.0,24,0.16666666666666666
856,2022,2.0,1,2.0
856,2023,0.0,10,0.0
857,2023,82.0,22,3.727272727272727
857,2024,265.0,24,11.041666666666666
858,2023,1.0,22,0.045454545454545456
858,2024,0.0,14,0.0
859,2023,2.0,5,0.4
859,2024,4.0,6,0.6666666666666666
860,2024,7.0,3,2.3333333333333335
861,2024,5.0,9,0.5555555555555556
862,2024,0.0,1,0.0
